pid,lat,lon,euclidean_distance
p1376403,35.88749631,-83.13007561,6.44496640825123
p648323,35.88764792,-89.77515731,7.504067630915676
p650378,35.88828111,-94.10658984,7.5125083262484065
p949636,35.88841488,-82.30993099,3.9564280533691027
p1377086,35.8885977,-83.27833626,6.331658680784927
p953566,35.88872702,-76.06686846,7.568614982963674
p657027,35.88919968,-91.93113713,6.52620163350591
p1501586,30.16638939,-102.3052134,3.54684621794887
p105404,30.16737485,-84.95482448,9.76698175628358
p574568,35.89014055,-111.8581641,8.068193024293674
p999090,35.89047499,-82.3057216,3.924664143957002
p1376834,35.89055079,-84.33968703,5.346626240156797
p1386606,35.89064443,-84.35429951,5.372325002676571
p653996,35.89065335,-93.89678022,8.748684151571439
p1377844,35.89133113,-84.29653185,5.511324692604391
p608301,35.89210702,-113.4911806,11.90330699186134
p1010014,35.89250834,-107.6057335,5.477078293463894
p189656,35.89296316,-118.3820162,5.002461311436784
p1376838,35.89301667,-84.55018782,5.780820807696895
p647046,35.89359636,-94.26889221,7.4104783939611085
p647827,35.89373905,-91.74659278,7.872030072875356
p646651,35.89408686,-93.2468707,7.949412262524523
p572114,35.89448818,-111.8034465,2.7985686301466846
p608185,35.89485382,-111.7391329,3.4216044658660514
p1384884,35.89493855,-85.41996223,8.462000345472108
p653669,35.89559849,-94.05544841,6.93659513379251
p605474,35.8959463,-111.6887495,4.009725643110702
p1030738,35.89638775,-108.9486542,10.584079215503925
p605776,35.89738213,-113.4423133,7.444844882132555
p988995,35.89833192,-81.81068558,4.247274972138239
p1373931,35.89847461,-86.60858021,6.579564289923089
p990690,35.89874662,-81.91430617,7.307298730308684
p1456619,35.89880905,-96.96939961,3.8982322867710923
p585106,35.89899633,-113.4416801,6.853842662280616
p954749,35.89947791,-77.03219695,3.827192193099931
p576266,35.89988369,-112.9749237,7.441100989335082
p998425,35.90004422,-76.75842152,3.8621446746521726
p1028186,35.90034744,-106.3225335,13.751942429434662
p1384182,35.90134627,-86.88554389,6.686743492486669
p582846,35.90145775,-112.2141029,6.512612240529797
p608299,35.90158707,-113.1968041,6.42599914339409
p652432,35.90254577,-91.37830224,7.994956974555149
p605473,35.90314775,-111.9877501,13.117522075720244
p1008691,35.90372743,-106.8781821,4.460743098602853
p1360788,35.90374081,-85.09990134,3.5580043589018864
p1040706,35.90496706,-108.8362759,4.897700253436111
p989391,35.90519894,-82.69005598,5.782553915809566
p1387726,35.9052034,-86.89311099,10.837325999587653
p1362789,35.90539068,-85.63638916,5.0025611075918555
p582851,35.90576078,-111.9349097,10.772368578910907
p948636,35.90658572,-78.15020952,2.07481264157157
p650634,35.90680867,-92.07267792,7.196790965999043
p992443,35.9070673,-76.68128353,8.22182579674615
p607800,35.90747754,-109.1719927,15.779120488717508
p1377987,35.90797696,-87.45273709,3.855878445763691
p1386898,35.90852989,-87.28475383,5.82614238270737
p607516,35.90856556,-111.8938102,5.728681245221824
p606545,35.9086369,-109.2276423,15.092588282168661
p1028680,35.90890891,-108.8907082,7.297807013870293
p653372,35.90902039,-91.97188886,7.102387397429078
p608933,35.90997909,-109.2794437,12.065051991422486
p1376401,35.91011733,-82.98810229,6.035562488157255
p1028185,35.91063012,-106.3703574,7.95641361324814
p1383099,35.91127223,-87.08053592,4.141597936313319
p1456563,35.91149965,-95.48185241,8.386932369538371
p1378561,35.9117449,-88.60993624,6.235192687194745
p1364856,35.91184746,-87.0239098,5.582140487570291
p1027249,35.91186084,-106.8790204,3.969015460870298
p1448613,35.91197231,-94.99678248,6.15631575320182
p654265,35.91204366,-92.49877178,7.833989111455662
p162732,35.9123335,-118.2227773,8.151545797540269
p989017,35.91289981,-82.11687867,8.171382319181864
p1026558,35.91335017,-105.7586445,2.932061794537356
p1035462,35.91347057,-106.6128121,5.988473598455257
p156205,35.9138273,-118.6183308,3.1603128381459085
p577772,35.91425091,-109.3398913,13.856828344297583
p949234,35.91427321,-79.82140479,4.749599444169924
p575016,35.91442482,-111.9452727,10.005360078314297
p647331,35.91457197,-92.87692138,6.684603107756133
p647438,35.91469682,-93.36709253,8.164735204316983
p1388140,35.91473696,-87.34359167,5.6417048769222315
p579666,35.91519624,-109.3956122,3.8106127723116336
p576470,35.91520516,-111.6600953,2.831472937194808
p575017,35.91525421,-112.1122348,12.31728056964994
p641581,35.91539244,-93.25534299,7.485433991453516
p1033552,35.91719838,-105.4989598,5.713104951697277
p987899,35.91734999,-77.43544684,6.574842594568581
p1033463,35.91756848,-105.8854881,7.194985590947334
p647031,35.91788954,-93.21003407,7.251356118293376
p1386735,35.9179921,-82.9637333,5.674309572974043
p1033451,35.91812587,-105.7802355,3.610925979886421
p1042918,35.91831761,-104.943017,15.191023089331198
p1045093,35.9185584,-105.8313591,5.180707437648868
p160363,35.91863421,-118.3960802,4.829173232297804
p1025439,35.91868326,-105.6146066,5.564799637267395
p1027352,35.91871001,-106.7229251,8.748090105969831
p997861,35.91881257,-75.80090984,6.199168869701272
p574876,35.91940117,-112.1646916,5.49902320393233
p605675,35.92075228,-110.0560318,4.765665829703628
p996332,35.92076566,-77.03755679,5.703459086484972
p582847,35.9209574,-112.1567678,5.481122309066806
p653907,35.92151925,-92.69476265,6.380947073059368
p1006857,35.92175112,-104.3931563,12.435451328192952
p572994,35.92180463,-111.7248236,3.5050009325017144
p989013,35.92190719,-82.7558946,4.1307912683281245
p581535,35.92250025,-112.2319126,6.808962363556055
p1009216,35.92279455,-105.2740695,11.425280669899196
